day,word,definition,difficulty,korean
1,dust,[n] fine dry powder made of dirt that settles on surfaces; [v] to clean dirt from a surface with a cloth,2,먼지(를 털다); 가루(를 뿌리다)
2,attain,"[v] to succeed in achieving something after a lot of effort; [v] to reach a particular age, level or condition",2,"성취하다; (나이, 수준 등에) 이르다"
2,abandon,[v] to leave someone or something and not return; [v] to stop doing or planning something before it is finished,2,"버리다; 그만두다, 포기하다"
2,facilitate,[v] to make an action or process easier or possible,2,"용이하게 하다, 가능하게 하다"
2,inherent,[adj] existing as a natural or basic part of something that cannot be removed,2,"내재하는, 타고난"
2,exceed,[v] to be greater than a particular number or amount; to go beyond a limit,2,"넘다, 초과하다"
2,dense,[adj] containing a lot of things or people close together; [adj] (of fog or smoke) thick and difficult to see through,2,빽빽한; (안개 등이) 짙은; (인구가) 밀집한
2,seemingly,[adv] in a way that appears to be true but may not really be so,2,"외견상으로, 겉보기에는"
2,interfere,[v] to prevent something from happening or developing properly; [v] to get involved in a situation where you are not wanted,2,"방해하다; 간섭하다, 개입하다"
2,substitute,[v] to use something or someone in place of another; [n] a person or thing used instead of another,2,"대체[대신]하다; 대용품, 대리인"
2,eliminate,[v] to remove or get rid of something completely,2,"제거하다, 없애다"
2,versus,[prep] used to show that two teams or sides are competing against each other,2,(경기 등에서) - 대(對)
2,assign,[v] to give someone a particular job or task to do,2,"(일 등을) 배정하다, 맡기다"
2,assemble,[v] to come together or bring people together in a group; [v] to fit the parts of something together,2,"집합시키다, 모이다; 조립하다"
2,glow,"[v] to give out a steady, soft light without flames; [n] a soft steady light",2,(계속 은은히) 빛나다; 불빛; 상기되다; 홍조
2,trigger,[v] to make something happen suddenly; [n] something that causes an event; [n] the part of a gun you pull to fire it,2,촉발시키다; 계기; 방아쇠
2,browse,"[v] to look through something casually, without searching for anything in particular",2,"둘러보다, 대강 훑어보다"
2,moisture,[n] a small amount of water or liquid in the air or on a surface,2,"수분, 습기"
2,prior,[adj] happening or existing before a particular time or event,2,"사전의, 앞의"
2,vice,[n] evil or immoral behavior; a bad habit; [adj] next in rank below the leader and able to act in their place,2,"악; 악덕; 대리의, 부(副)"
2,exert,"[v] to use power, influence or effort to make something happen",2,쓰다; 행사하다
2,fade,[v] to become paler or less bright; [v] to disappear slowly,2,"바래다, 희미해지다; 서서히 사라지다"
2,leak,[v] (of a liquid or gas) to escape through a hole or crack; [n] a hole or crack through which liquid or gas escapes,2,새다; 새는 곳[틈]; 누설(하다)
2,swift,[adj] happening or moving very quickly,2,"신속한, 빠른"
2,beforehand,[adv] before a particular time or event; in advance,2,"사전에, 미리"
2,conceal,[v] to hide something or keep it secret,2,"감추다, 숨기다"
2,terminal,[adj] (of an illness) that cannot be cured and will lead to death; [adj] at the end of something,2,(질병 등이) 말기의; 끝의
2,prone,"[adj] likely to do, suffer from or be affected by something, usually bad",2,"~하기 쉬운, ~하는 경향이 있는"
2,sustain,[v] to support the weight of something; [v] to make something continue for a period of time,2,"지탱하다, 뒷받침하다; 유지[지속]하다"
2,upcoming,[adj] going to happen soon,2,"다가오는, 곧 있을"
2,classify,[v] to arrange things into groups according to their type or qualities,2,"분류하다, 구분하다"
2,breakdown,"[n] a failure of a machine or vehicle to work; [n] a failure of a relationship, discussion or system",2,(기계 등의) 고장; (관계 등의) 실패
2,assure,[v] to tell someone confidently that something is true so that they do not worry; [v] to make certain that something will happen,2,"장담하다, 보장하다; 확인하다, 확신하다"
2,absurd,[adj] completely unreasonable or silly; ridiculous,2,터무니없는; 어리석은
2,foster,[v] to help something develop or grow; to encourage,2,발전시키다; 촉진하다
2,permanent,[adj] lasting for a very long time or forever,2,"영구적인, 영속적인"
2,fatal,[adj] causing death; [adj] causing failure or very serious problems,2,"치명적인; 결정적인, 중대한"
2,superstition,[n] a belief in luck or magic that is not based on reason or science,2,미신
2,retain,[v] to keep or continue to have something,2,"(계속) 보유하다, 유지하다"
3,emergency,"[n] a sudden, dangerous situation that needs immediate action",2,비상(사태)
3,harsh,"[adj] cruel, severe or very difficult to bear; [adj] unpleasant to see or hear; rough",2,"혹독한; (눈, 귀에) 거슬리는; 거친"
3,merit,[n] a good quality or feature that deserves praise; worth,2,"장점, 가치"
3,barrier,[n] a fence or wall that stops people from passing; [n] something that prevents progress or makes it difficult,2,"장벽, 장애물"
3,integrate,[v] to combine two or more things so that they work together as one,2,"통합시키다, 합치다"
3,vulnerable,"[adj] easily hurt, damaged or attacked; [adj] likely to be affected by something harmful",2,"취약한, 연약한; ~하기[받기] 쉬운"
3,remarkable,[adj] unusual or surprising in a way that is worth noticing,2,"놀랄 만한, 주목할 만한"
3,norm,"[n] a usual or standard situation, amount or way of behaving; [n] a rule of behavior accepted by a society",2,"표준; 평균, 정상; 규범; 기준"
3,vast,"[adj] extremely large in size, number or amount",2,"(수, 양이) 엄청난, 막대한"
3,bunch,[n] a number of things of the same kind held or tied together; [n] a large number or amount,2,"다발, 묶음; (수, 양이) 많음"
3,equality,"[n] the state of having the same rights, status and opportunities as others",2,"평등, 균등"
3,mount,[v] to get on a horse or bicycle; [v] to go up something; [v] to increase gradually,2,올라타다; 올라가다; 증가하다; 산
3,prominent,[adj] sticking out from a surface; [adj] easy to see or notice; [adj] important or well known,2,돌출된; 눈에 잘 띄는; 중요한; 유명한
3,subtle,[adj] not obvious and therefore difficult to notice; [adj] clever and indirect,2,"미묘한, 알아채기 힘든; 교묘한"
3,duration,[n] the length of time that something lasts,2,지속 (기간)
3,portion,[n] one part of something larger; [n] an amount of food for one person,2,부분; 나누다; 인분
3,visible,[adj] able to be seen; [adj] clear and easy to notice,2,"눈에 보이는; 뚜렷한, 명백한"
3,gaze,[v] to look steadily at something for a long time; [n] a long steady look,2,응시(하다)
3,glance,"[v] to look at something quickly and briefly; [n] a quick, short look",2,흘낏 보다; 흘낏 봄
3,tremendous,"[adj] very great in amount, size or level; [adj] extremely good or impressive",2,"(양, 크기가) 엄청난; 멋진, 대단한"
3,overlap,[v] to partly cover something by lying over it; [v] to share some of the same parts or qualities,2,겹쳐지다; 겸침; 중복(되다)
3,remote,[adj] far away from towns or other people; [adj] operated or controlled from a distance,2,"외딴, 먼; 원격의"
3,parallel,[adj] (of lines) side by side and always the same distance apart; [adj] very similar and happening at the same time,2,평행하는; 평행선; 유사한; 유사[병행]하다
3,optimal,[adj] best or most suitable; most favorable,2,"최선의, 최적의"
3,abundant,[adj] existing in large quantities; more than enough,2,"풍부한, 많은"
3,capacity,[n] the largest amount that something can hold or contain; [n] the ability to do or understand something,2,"용량, (최대) 수용량; 능력"
3,crude,"[adj] in a natural state, not yet processed; [adj] simple and not skillfully made; rough",2,원래 그대로의; 대충의
3,detach,[v] to separate one thing from another that it is attached to,2,"분리하다, 떼어내다"
3,external,[adj] on or from the outside; [adj] relating to foreign countries,2,외부의; 대외적인; 외국의
3,outward,[adj] relating to how things seem rather than how they really are; [adj] away from the center or toward the outside,2,겉으로 보이는; 바깥의; 밖으로
3,lessen,"[v] to become or make something smaller in size, amount or strength",2,"(크기, 양 등이) 줄다, 줄이다"
3,diminish,[v] to become or make something smaller or less important; [v] to make someone or something seem less valuable,2,"줄이다, 줄어들다; 폄하하다"
3,shrink,[v] to become smaller in size or amount; [v] to move back or away because of fear or dislike,2,줄어들다; 움츠러들다
3,format,"[n] the general arrangement, plan or design of something",2,(전반적인) 구성 방식
3,ethical,[adj] relating to beliefs about what is morally right and wrong,2,"윤리적인, 도덕에 관련된"
3,constitute,[v] to form or make up something; [v] to be considered to be something,2,구성하다; (~로) 여겨지다; 설립하다; 제정하다
3,excel,[v] to be extremely good at something,2,뛰어나다; (평소보다) 뛰어나게 잘하다
3,certificate,[n] an official document that proves a fact or shows you have a qualification,2,"증명서, 자격증"
3,strive,[v] to try very hard to achieve something,2,"매우 노력하다, 애쓰다"
3,behalf,"[n] the interest or support of someone, as in acting for them or as their representative",2,이익; 지지
3,defend,[v] to protect someone or something from attack; [v] to speak in support of someone or something that is criticized,2,방어하다; 수비하다; 옹호하다; 변호하다
3,cue,[n] a signal for someone to do something; [v] to give someone a signal to do something,2,신호; 신호를 주다
3,engage,[v] to attract and hold someone's interest or attention; [v] to employ someone; [v] to take part in an activity,2,"(주의, 관심을) 끌다; 고용하다; 참여[관여]하다"
3,similarity,[n] the state of being like someone or something else; a feature they share,2,"유사(성), 닮은 점"
3,potent,[adj] having a strong effect; powerful,2,"강력한, 효과적인"
4,invest,[v] to put money into a business or plan to make a profit; [v] to spend time or effort on something to make it successful,2,"투자하다; (시간, 노력 등을) 들이다"
4,substance,"[n] a particular type of solid, liquid or gas; material; [n] the most important or basic part of something",2,"물질; 본질, 핵심; 실체"
4,mission,[n] an important official job that a person or group is sent to do; [n] a task that someone believes it is their duty to do,2,"임무; (스스로 부여한) 사명, 천직"
4,faith,[n] strong trust or confidence in someone or something; [n] strong religious belief,2,"확신, 신뢰; 신념, 신앙(심)"
4,hence,[adv] for this reason; therefore,2,"그러므로, 따라서"
4,dominate,[v] to control or have power over someone or something; [v] to be the most important or noticeable part of something,2,지배하다; 우위를 차지하다
4,overwhelm,[v] to affect someone very strongly emotionally; [v] to defeat someone completely by using great force,2,압도하다; 제압하다
4,protest,[n] a public act of showing strong disagreement; [v] to say or show publicly that you strongly disagree,2,"항의(하다), 시위(하다)"
4,scatter,[v] to throw or drop things so they spread over a wide area; [v] to move quickly in different directions,2,흩뿌리다; (뿔뿔이) 흩어지다
4,dilemma,[n] a situation in which you must make a difficult choice between two options,2,"딜레마, 궁지"
4,vertical,"[adj] standing or pointing straight up, at an angle of 90 degrees to the ground",2,"수직의, 세로의"
4,attribute,[v] to say or believe that something is the result of a particular thing; [n] a quality or feature of a person or thing,2,"(~의) 탓[덕]으로 보다; 속성, 자질"
4,inevitable,[adj] certain to happen and impossible to avoid,2,"불가피한, 피할 수 없는"
4,simultaneously,[adv] at exactly the same time,2,"동시에, 일제히"
4,tremble,"[v] to shake slightly because you are cold, afraid or excited; [n] a slight shaking movement",2,"(몸을) 떨다, 떨리다; 떨림"
4,spare,"[adj] kept in addition to what is needed, for later use; extra; [v] to give time or money to someone",2,"남는, 여분(의); (시간, 돈 등을) 할애하다"
4,temporary,[adj] lasting or used for only a limited period of time,2,일시적인; 임시의
4,undermine,[v] to gradually make something such as confidence or authority weaker,2,"(자신감, 능력 등을) 약화시키다"
4,rub,[v] to press your hand or an object against a surface and move it back and forth,2,"문지르다, 비비다; 문지르기"
4,cope,[v] to deal successfully with a difficult problem or situation,2,"대처하다, 대응하다,"
4,vague,[adj] not clear or detailed; [adj] not clearly seen or remembered,2,애매모호한; 희미한; 막연한
4,dim,[adj] not bright; rather dark; [adj] (of a memory) not clear,2,"어둑한; (기억 등이) 흐릿한, 희미한"
4,blur,[v] to become or make something unclear or difficult to see; [v] to make the difference between things less clear,2,흐릿해지다; 모호하게 만들다
4,posture,[n] the way you hold your body when standing or sitting; [n] an attitude or way of dealing with something,2,자세; 태도
4,collision,[n] an accident in which two moving objects crash into each other,2,"충돌, 부딪침"
4,conscience,[n] the part of your mind that tells you whether your actions are right or wrong,2,"양심, 도덕심"
4,oval,[adj] shaped like an egg; [n] a shape like a flattened circle,2,"타원형(의), 달걀 모양의"
4,steep,[adj] (of a slope) rising or falling sharply; [adj] (of a rise or fall) sudden and very large,2,가파른; 급격한; 가격이 비싼
4,magnitude,[n] the great size or importance of something,2,엄청난 규모; 중요성; 크기; (별의) 광도
4,worthwhile,"[adj] important or useful enough to be worth the time, money or effort spent",2,(~할) 가치가 있는
4,minimize,[v] to reduce something to the lowest possible level; [v] to make something seem less important than it really is,2,최소화하다; 축소하다
4,integral,[adj] necessary and important as a part of a whole,2,"필수적인, 없어서는 안 될"
4,cease,[v] to stop happening or to stop doing something,2,"중지하다, 그만두다"
4,bind,[v] to tie something firmly with rope or string; [v] to unite people or make them feel closely connected,2,"묶다, 매다; 결속시키다"
4,grasp,[v] to take and hold something firmly; [v] to understand something completely,2,꽉 잡다; 움켜잡기; 완전히 이해(하다)
4,elevate,[v] to lift something to a higher position; [v] to give someone a more important job or rank,2,(들어)올리다; 승진[승격]시키다
5,domestic,"[adj] relating to or inside one country, not foreign; [adj] relating to the home or family",2,국내의; 가정(용)의; (동물이) 길들여진
5,investigate,"[v] to examine a crime, problem or statement carefully to find out the truth",2,"조사하다, 연구하다; 수사하다"
5,cite,[v] to mention something as a reason or example; [v] to quote the words of a book or author,2,"(이유나 예로) 들다, 언급하다; 인용하다"
5,trivial,[adj] not important or serious; not worth considering,2,"사소한, 하찮은"
5,extinguish,[v] to make a fire or light stop burning or shining; [v] to make something end completely,2,"(불을) 끄다, 소멸시키다"
5,deprive,[v] to take something important away from someone or prevent them from having it,2,"박탈하다, 빼앗다"
5,weird,[adj] very strange and unusual,2,"기이한, 이상한"
5,disorder,[n] a state of confusion or lack of organization; [n] an illness or condition that affects the mind or body,2,"무질서, 혼란; (신체적, 정신적) 장애, 이상"
5,ambiguous,[adj] having more than one possible meaning and therefore unclear,2,"애매모호한, 여러 가지로 해석할 수 있는"
5,thrive,"[v] to become very successful; [v] (of people, animals or plants) to grow and be strong and healthy",2,"번창하다, 번성하다; (사람, 동식물이) 잘 자라다"
5,flourish,[v] to develop quickly and be successful; [v] (of plants or animals) to grow well and be healthy,2,"번창하다, 번성하다; (주로 동식물이) 잘 자라다"
5,fragile,[adj] easily broken or damaged; [adj] weak and not healthy,2,부서지기[깨지기] 쉬운; 허약한
5,interval,[n] a period of time or space between two events or things; [n] a short break between parts of a play or concert,2,"간격, 사이; (연극, 연주 등의) 휴식 시간"
5,vibrate,"[v] to shake with small, fast movements",2,"진동하다, 떨리다"
5,breakthrough,[n] an important new discovery or development; [n] a way through an obstacle or problem,2,획기적인 발견; 돌파구
5,clarify,[v] to make something clearer or easier to understand,2,"명확하게 하다, 분명히 말하다"
5,accelerate,[v] to go faster or make something happen more quickly,2,"가속하다, 속도를 높이다"
5,abnormal,"[adj] different from what is usual or expected, often in a way that is worrying",2,"비정상적인, 이상한"
5,drastic,[adj] extreme and sudden; [adj] having a strong or far-reaching effect; severe,2,급격한; 과감한
5,activate,[v] to make a machine or device start working; [v] to cause a process to start,2,작동시키다; 활성화시키다
5,allot,"[v] to give a share of time, money or work to someone for a particular purpose",2,"(시간, 업무 등을) 할당하다, 분배하다"
5,hinder,[v] to make it difficult for something to happen or for someone to do something,2,"방해하다, 막다"
5,complement,[v] to add to something in a way that improves it or makes it complete; [n] a thing that improves or completes something else,2,"보완하다, 보충하다; 보완하는 것"
5,shed,[v] to let tears or blood flow out; [v] (of a tree) to lose leaves naturally,2,"(피, 눈물 등을) 흘리다; (잎이) 떨어지다"
5,adhere,[v] to stick firmly to a surface,2,"들러붙다, 부착하다"
5,mobilize,[v] to bring together people or resources for a particular purpose,2,"(사람, 물자 등을) 동원하다"
5,superb,[adj] of excellent quality; extremely good,2,"최고의, 최상의, 대단히 훌륭한"
5,crush,[v] to press something so hard that it breaks or loses its shape,2,"눌러서 뭉개다, 으깨다"
5,frontier,[n] a border between two countries; [n] the limit of what is known in a particular subject,2,"국경 (지역); 경계; (학문, 지식 등의) 한계"
5,compel,[v] to force someone to do something,2,"강요하다, (억지로) 하게 하다"
5,circulate,[v] to move around continuously within a system; [v] to pass information from one person to another,2,"순환하다; 유포하다, 배포되다"
5,circuit,[n] a trip or route around a place that ends where it began; [n] the complete path that an electric current flows along,2,"순회 (노선), 순환; (전기) 회로"
5,approximate,"[adj] almost correct or exact, but not completely",2,"근사치인, 대략의"
5,stationary,[adj] not moving; standing still,2,"정지한, 움직이지 않는"
6,innate,[adj] existing in a person from birth; natural,2,"선천적인, 타고난"
6,notify,[v] to formally or officially tell someone about something,2,"(공식적으로) 통지하다, 알리다"
6,partial,[adj] not complete; only in part; [adj] unfairly supporting one side more than another,2,"부분적인; 편파적인, 불공평한"
6,coincidence,[n] a surprising situation in which two things happen at the same time by chance,2,우연의 일치; (일이) 동시에 일어남; 공존함
6,gigantic,[adj] extremely large,2,"거대한, 굉장히 큰"
6,glimpse,[v] to see someone or something for a very short time; [n] a quick look at someone or something,2,언뜻 보다; 언뜻 봄
6,majestic,"[adj] impressive, beautiful and dignified",2,"장엄한, 위엄 있는"
6,escalate,"[v] to become or make something greater, worse or more serious",2,"(단계적으로) 확대되다, 증가하다"
6,gorgeous,[adj] very beautiful and attractive; wonderful,2,"아주 멋진, 화려한"
6,superficial,"[adj] seeing only the surface of something, not deep or complete; [adj] (of a wound) affecting only the surface; not serious",2,"피상적인, 표면적인; (상처 등이) 경미한"
6,profound,[adj] very great or strong in effect; [adj] showing deep knowledge or understanding,2,(영향 등이) 엄청난; (지식 등이) 심오한
6,promising,[adj] showing signs of being successful or good in the future,2,"유망한, 촉망되는"
6,renowned,[adj] known and admired by many people; famous,2,"유명한, 명성 있는"
6,rear,[n] the back part of something; [adj] at the back; [v] to care for young children or animals until they are grown,2,"뒤쪽(의); 뒤에; 양육하다, 기르다"
6,substantial,"[adj] large in amount, size or value; considerable; [adj] real and important; relating to the main part of something",2,"(양이) 상당한, 많은; 실질적인, 본질적인"
6,shrug,[v] to raise your shoulders to show that you do not know or care about something,2,(어깨를) 으쓱하다
6,fraction,[n] a small part or amount of something; [n] a number such as 1/2 or 3/4 that is less than a whole number,2,"부분, 일부; 분수"
6,segment,[n] one of the parts into which something is divided; [n] one of the natural sections of an orange or similar fruit,2,"부분, 구획; (과일의) 조각"
6,vanish,[v] to disappear suddenly or completely,2,"사라지다, 없어지다"
6,impair,[v] to damage something or make it weaker or worse,2,"손상시키다, 악화시키다"
6,withstand,[v] to be strong enough not to be harmed or affected by something; to resist,2,"견디어 내다, 버티다"
6,roar,"[v] (of an animal) to make a loud deep sound; [v] to shout loudly, especially as a crowd",2,(짐승이) 으르렁거리다; 함성을 지르다
6,slam,[v] to shut a door or window with great force and a loud noise; [v] to push or throw something somewhere with great force,2,(문 등을) 쾅 닫다; 힘껏 밀다; 내동댕이치다
6,rotate,[v] to turn around a central point; [v] to take turns doing a job in a regular order,2,회전하다; (천체가) 자전하다; 교대로 근무하다
6,unify,[v] to join people or things together so they form a single unit,2,"통합하다, 통일하다"
6,naked,[adj] not wearing any clothes; [adj] (of the eye) without the help of any instrument,2,"나체의, 벌거벗은; 육안의"
6,pierce,[v] to make a hole in something with a sharp point; to go through something,2,"관통하다, (구멍을) 뚫다"
6,penetrate,"[v] to go into or through something, especially with difficulty; [v] to understand something that is difficult to see",2,"관통하다, 뚫고 들어가다; (속내를) 간파하다"
6,trim,[v] to make something neater by cutting small amounts off it,2,"(깎아) 다듬다, 손질하다"
6,grip,[v] to hold something tightly; [n] a firm hold on something; [v] to hold someone's attention completely,2,"꽉 잡다; 움켜쥠; (마음, 흥미 등을) 끌다"
6,indulge,[v] to allow yourself to enjoy something pleasant; [v] to let someone have or do whatever they want,2,"마음껏 하다; (욕구, 관심 등을) 충족시키다"
6,prestige,[n] the respect and admiration that someone or something gets because of success or high quality,2,"위신, 명성"
6,supreme,[adj] highest in rank or position; [adj] very great or the greatest possible,2,"최고의, 최상의"
6,vacant,[adj] (of a seat or room) empty; not being used; [adj] (of a job or position) available because no one is doing it,2,비어 있는; 사람이 살지 않는; 공석의
6,duplicate,[v] to make an exact copy of something; [adj] exactly like something else; [n] an exact copy,2,복사[복제]하다; 똑같은; 사본(의); 되풀이하다
7,concrete,"[adj] based on facts and actual things, not ideas; specific and clear",2,구체적인
7,compound,[n] a substance formed from two or more elements; [v] to mix or combine things together,2,혼합물; 혼합하다; 합성의; 합성어
7,halt,[n] a stop or pause; [v] to stop or make something stop,2,"멈춤, 중단; 멈추다, 중단시키다"
7,endeavor,[n] a serious attempt to do something; [v] to try hard to do something,2,"노력, 시도; 노력하다"
7,deliberate,"[adj] done on purpose, not by accident; [adj] slow and careful in speech or action",2,"고의의, 의도적인; 신중한"
7,obscure,[adj] not clearly known or difficult to understand; [v] to make something difficult to see or understand,2,"이해하기 힘든, 모호한; 모호하게 하다"
7,incline,[v] to make someone feel likely or willing to do something; [v] to lean or slope in a particular direction,2,"마음이 내키다[기울다]; 기울다, 경사지다"
7,mimic,"[v] to copy the way someone speaks, moves or behaves, often to make people laugh",2,"모방하다, 흉내 내다"
7,supplement,[n] something added to something else to improve or complete it; [v] to add something to improve or complete it,2,"보충(하다), 추가(하다); 부록"
7,dull,[adj] not interesting or exciting; boring; [adj] not bright or shiny,2,"지루한, 따분한; 흐린, 칙칙한"
7,subsequent,[adj] happening after something else; following,2,"차후의, 그 다음의"
7,scope,[n] the range of things that a subject or activity deals with; [n] the opportunity or possibility to do something,2,"범위, 영역; 여지; 기회"
7,embrace,[v] to hold someone closely in your arms; [v] to accept an idea or change eagerly,2,껴안다; (생각 등을) 받아들이다; 포괄하다
7,devastate,[v] to destroy or damage something completely; [v] to make someone feel extremely shocked and sad,2,완전히 파괴하다; 망연자실케 하다
7,compatible,[adj] able to exist or be used together without problems; [adj] (of people) able to have a good relationship,2,양립할 수 있는; 화합할 수 있는; 호환 가능한
7,fragment,[n] a small piece that has broken off something; [v] to break into small pieces,2,"파편, 조각; 산산이 부서지다"
7,squeeze,"[v] to press something firmly, especially to get liquid out of it; [v] to force something into a small space",2,"짜다, 짜내다; (좁은 곳에) 밀어 넣다"
7,discern,[v] to notice or understand something that is not obvious; to recognize,2,(분명하지 않은 것을) 식별하다; 알아차리다
7,domain,[n] an area of knowledge or activity; [n] land or an area that someone owns or controls,2,"(지식, 활동의) 영역, 분야; 영토, 소유지"
7,moderate,"[adj] neither very large nor very small; average; [adj] not extreme, especially in political opinions",2,"적당한, 보통의; 온건한, 절도를 지키는"
7,restrain,"[v] to stop yourself from showing or feeling something; [v] to stop someone from doing something, often by force",2,"억제하다, 억누르다; 저지하다"
7,inhibit,[v] to prevent something from happening or slow down a process,2,"억제[저해]하다, 못하게 하다"
7,sole,[adj] being the only one; [adj] belonging to or done by one person or group only,2,"유일한; 혼자의, 단독의"
7,intact,[adj] complete and not damaged,2,"손상되지 않은, 온전한"
7,comprise,[v] to have things as parts; to consist of; [v] to be the parts that form something,2,"구성하다, 이루다"
7,drip,[v] (of a liquid) to fall in small drops; [n] a small drop of liquid,2,(액체가) 뚝뚝 떨어지다; (액체) 방울
7,gross,"[adj] (of an amount) total, before anything is taken away; [adj] very obvious and unacceptable; [adj] very rude or unpleasant",2,"총(계의), 전체의; (잘못, 오해 등이) 심한; 아주 무례한"
7,flaw,"[n] a mistake, weakness or fault in something or someone",2,"결함, 결점, 흠"
7,interior,[n] the inside part of something; [adj] on or relating to the inside,2,내부; 내부의
7,probable,[adj] likely to happen or be true,2,"있음직한, 충분히 가능한"
7,eligible,[adj] having the right qualities to be chosen for something; [adj] allowed by rules to do or receive something,2,"적격의, 적임의; (~을) 할 수 있는"
7,implement,[v] to put a plan or system into action,2,"실행하다, 시행하다"
7,illuminate,[v] to shine light on something; [v] to make something clearer and easier to understand,2,"(불을) 비추다, 밝게 하다; 분명히 하다, 밝히다"
7,paradigm,[n] a set of ideas or a model that forms the basic way of thinking in a particular period; [n] a typical example or pattern,2,(특정 시대의 지배적인) 사고의 틀; 전형적인 예[양식]
7,dimension,"[n] a measurement of length, width or height; [n] the size or extent of something; [n] an aspect of a situation",2,"치수, 크기; 규모; 차원"
7,withhold,[v] to refuse to give something or to keep it back,2,"보류하다, 유보하다"
7,sheer,[adj] complete; nothing but; [adj] very steep; almost vertical; [adj] (of cloth) very thin and light,2,"완전한, 순전한; 몹시 가파른; (직물 등이) 얇은"
7,staple,[adj] main or most important; [n] a basic type of food that people eat regularly,2,"주된, 주요한; 주식; (한 국가의) 주요 산물"
8,illustrate,[v] to explain something by giving examples; [v] to add pictures to a book or article,2,"(예를 들어) 설명하다, 분명히 보여주다; 삽화를 넣다"
