unit,word,definition,source,flag
5,complement,"[n] The totality, the full amount or number which completes something; [n] Something which completes, something which combines with something else to make up a complete whole; loosely, something perceived to...",Datamuse 조회,
5,shed,"[n] A slight or temporary structure built to shade or shelter something; a structure usually open in front; an outbuilding, especially a...; [v] To allow to flow or fall",Datamuse 조회,
5,adhere,"[v] To stick fast or cleave, as a glutinous substance does; to become joined or united; [v] To be attached or devoted by personal union, in belief, on principle, etc",Datamuse 조회,
5,mobilize,[v] To assemble troops and their equipment in a coordinated fashion so as to be ready for war; [v] To get ready for war,Datamuse 조회,
5,superb,[adj] First-rate; of the highest quality; exceptionally good; [adj] Grand; magnificent; august; stately,Datamuse 조회,
5,crush,"[n] A violent collision or compression; a crash; destruction; ruin; [n] Violent pressure, as of a moving crowd",Datamuse 조회,
5,frontier,[n] The part of a country which borders or faces another country or unsettled region; [n] The most advanced or recent version of something; the leading edge,Datamuse 조회,
5,compel,"[v] To force, constrain, or coerce; [v] To forcefully or powerfully motivate (a course of action)",Datamuse 조회,
5,circulate,[v] to spread or disseminate; [v] to become widely known,Datamuse 조회,
5,circuit,"[n] The act of moving or revolving around, or as in a circle or orbit; a revolution; [n] The circumference of, or distance around, any space; the measure of a line around an area",Datamuse 조회,
5,approximate,[adj] Nearing correctness; nearly exact; not perfectly accurate; [adj] Approaching; proximate; nearly resembling,Datamuse 조회,
5,stationary,[adj] Not moving; [adj] Incapable of being moved,Datamuse 조회,
6,innate,[adj] Inborn; existing or having existed since birth; [adj] Instinctive; coming from instinct,Datamuse 조회,
6,notify,[v] To give (someone) notice (of some event),Datamuse 조회,
6,partial,"[adj] Existing as a part or portion; incomplete; [adj] Biased in favor of a person, side, or point of view, especially when dealing with a competition or dispute",Datamuse 조회,
6,coincidence,"[n] Of objects, the property of being coincident; occurring at the same time or place; [n] Of events, the appearance of a meaningful connection when there is none",Datamuse 조회,
6,gigantic,[adj] Very large; [adj] In the manner of a giant,Datamuse 조회,
6,glimpse,"[v] To see or view (someone, or something tangible) briefly and incompletely; [v] To perceive (something intangible) briefly and incompletely",Datamuse 조회,
6,majestic,[adj] Having qualities of splendor or royalty,Datamuse 조회,
6,escalate,"[v] To increase (something) in extent or intensity; to intensify or step up; [v] In technical support, to transfer a customer, a problem, etc. to the next higher level of authority",Datamuse 조회,
6,gorgeous,[adj] Sumptuously dressed; [adj] Very beautiful,Datamuse 조회,
6,superficial,"[adj] Appearing to be true or real only until examined more closely; [adj] Not thorough, deep, or complete; concerned only with the obvious or apparent",Datamuse 조회,
6,profound,"[adj] Very deep; very serious; [adj] Intellectually deep; entering far into subjects; reaching to the bottom of a matter, or of a branch of learning; thorough",Datamuse 조회,
6,promising,"[adj] Showing promise, and likely to develop in a desirable fashion; [adj] Encouraging and inspiring confidence",Datamuse 조회,
6,renowned,"[adj] Famous, celebrated, or well-known; widely praised or highly honored",Datamuse 조회,
6,rear,"[v] To bring up to maturity, as offspring; to educate; to instruct; to foster; [v] To breed and raise",Datamuse 조회,
6,substantial,"[adj] Large in size, quantity, or value; ample; significant; [adj] Not imaginary; real; actual; true; veritable",Datamuse 조회,
6,shrug,"[n] A lifting of the shoulders to signal indifference or a casual lack of knowledge; [v] To raise (the shoulders) to express uncertainty, lack of concern, (formerly) dread, etc",Datamuse 조회,
6,fraction,"[n] A part of a whole, especially a comparatively small part; [n] A small amount",Datamuse 조회,
6,segment,[n] One of the parts into which any body naturally separates or is divided; a part divided or cut off; a section; a portion; [n] A length of some object,Datamuse 조회,
6,vanish,[v] To become invisible or to move out of view unnoticed; [v] To disappear; to kidnap,Datamuse 조회,
6,impair,[v] To weaken; to affect negatively; to have a diminishing effect on,Datamuse 조회,
6,withstand,[v] To resist or endure (something) successfully; [v] To oppose (something) forcefully,Datamuse 조회,
6,roar,"[v] Of animals (especially a lion), to make a loud deep noise; [v] To make a loud, deep cry, especially from pain, anger, or other strong emotion",Datamuse 조회,
6,slam,"[v] To shut with sudden force so as to produce a shock and noise; [v] To put in or on a particular place with force and loud noise. (Often followed by a preposition such as down, against or into.)",Datamuse 조회,
6,rotate,"[v] To spin, turn, or revolve; [v] To spin, turn, or revolve something",Datamuse 조회,
6,unify,[v] Cause to become one; make into a unit; consolidate; merge; combine; [v] Become one,Datamuse 조회,
6,naked,"[adj] Bare, not covered by clothing; [adj] Unadorned, without decoration or circumlocution; put bluntly",Datamuse 조회,
6,pierce,[v] To puncture; to break through; [v] To create a hole in the skin for the purpose of inserting jewelry,Datamuse 조회,
6,penetrate,"[v] To enter into; to make way into the interior of; to pierce; [v] To achieve understanding of, despite some obstacle; to comprehend; to understand",Datamuse 조회,
6,trim,"[v] To reduce slightly; to cut; especially, to remove excess; [v] To decorate or adorn; especially of a Christmas tree",Datamuse 조회,
6,grip,"[n] A hold or way of holding, particularly with the hand; [n] Ability to resist slippage when pressed in contact with another object or surface",Datamuse 조회,
6,indulge,[v] : To yield to a temptation or desire; [v] To satisfy the wishes or whims of,Datamuse 조회,
6,prestige,"[n] The quality of how good the reputation of something or someone is, how favourably something or someone is regarded; [n] The act of starting over at an earlier point in a video game with some type of bonus or reward",Datamuse 조회,
6,supreme,"[adj] Dominant, having power over all others; [n] The highest point",Datamuse 조회,
6,vacant,[adj] Not occupied; empty; [adj] Showing no intelligence or interest,Datamuse 조회,
6,duplicate,"[adj] Being the same as another; identical, often having been copied from an original; [v] To make a copy of",Datamuse 조회,
7,concrete,"[adj] Real, actual, tangible; [adj] Being or applying to actual things, rather than abstract qualities or categories",Datamuse 조회,
7,compound,[n] Anything made by combining several things; [adj] Composed of elements; not simple,Datamuse 조회,
7,halt,[v] To stop either temporarily or permanently; [v] To stop marching,Datamuse 조회,
7,endeavor,[n] A sincere attempt; a determined or assiduous effort towards a specific goal; assiduous or persistent activity; [v] To attempt through application of effort (to do something); to try strenuously,Datamuse 조회,
7,deliberate,[adj] Done on purpose; intentional; [adj] Formed with deliberation; carefully considered; not sudden or rash,Datamuse 조회,
7,obscure,[adj] Difficult to understand; abstruse; [adj] Not well-known,Datamuse 조회,
7,incline,"[v] To bend or move (something) out of a given plane or direction, often the horizontal or vertical; [v] To slope",Datamuse 조회,
7,mimic,"[v] To imitate, especially in order to ridicule; [n] A comic who does impressions",Datamuse 조회,
7,supplement,"[n] Something added; especially, such an addition added to make up for a deficiency; [n] An extension to a document or publication that adds information, corrects errors, or brings up to date",Datamuse 조회,
7,dull,[adj] Boring; not exciting or interesting; [adj] Lacking the ability to cut easily; not sharp,Datamuse 조회,
7,subsequent,"[adj] Following in time; coming or being after something else at any time, indefinitely; [adj] Following in order of place; succeeding",Datamuse 조회,
7,scope,"[n] The breadth, depth or reach of a subject; the extent of applicability or relevance; a domain, purview or remit; [n] Potential range of action; degree of freedom; opportunity",Datamuse 조회,
7,embrace,[v] To clasp (someone or each other) in the arms with affection; to take in the arms; to hug; [v] To seize (something) eagerly or with alacrity; to accept or take up with cordiality; to welcome,Datamuse 조회,
7,devastate,"[v] To ruin many or all things over a large area, such as most or all buildings of a city, or cities of a region, or trees of a forest; [v] To greatly demoralize, to cause to suffer intense grief or dismay",Datamuse 조회,
7,compatible,[adj] Able to get along well; [adj] Capable of easy interaction,Datamuse 조회,
7,fragment,"[n] A part broken off; a small, detached portion; an imperfect part, either physically or not; [v] To break apart",Datamuse 조회,
7,squeeze,[v] To apply pressure to from two or more sides at once; [v] To embrace closely; to give a tight hug to,Datamuse 조회,
7,discern,"[v] To perceive, recognize, or comprehend with the mind; to descry; [v] To distinguish something as being different from something else; to differentiate or discriminate",Datamuse 조회,
7,domain,"[n] A field or sphere of activity, influence or expertise; [n] A geographic area owned or controlled by a single person or organization",Datamuse 조회,
7,moderate,[adj] Not excessive; acting in moderation; [adj] Not violent or rigorous; temperate; mild; gentle,Datamuse 조회,
